date,pressure_score,ledger_score,cei,cei_band,provisional
2026-02-16,0.04,52.87,52.89,Severe erosion,false
2026-02-17,0.08,52.87,52.90,Severe erosion,false
2026-02-18,0.13,52.87,52.92,Severe erosion,false
2026-02-19,0.20,52.87,52.94,Severe erosion,false
2026-02-20,0.27,46.01,46.11,Substantial erosion,false
2026-02-21,0.35,46.01,46.14,Substantial erosion,false
2026-02-22,0.41,46.01,46.16,Substantial erosion,false
2026-02-23,0.47,46.01,46.18,Substantial erosion,false
2026-02-24,0.54,46.01,46.20,Substantial erosion,false
2026-02-25,0.61,46.01,46.23,Substantial erosion,false
2026-02-26,0.69,46.01,46.26,Substantial erosion,false
2026-02-27,0.76,46.01,46.28,Substantial erosion,false
2026-02-28,0.83,46.01,46.30,Substantial erosion,false
2026-03-01,0.89,46.01,46.33,Substantial erosion,false
2026-03-02,0.95,46.01,46.35,Substantial erosion,false
2026-03-03,0.99,46.01,46.36,Substantial erosion,false
2026-03-04,1.05,46.01,46.38,Substantial erosion,false
2026-03-05,1.11,46.01,46.40,Substantial erosion,false
2026-03-06,1.17,46.01,46.42,Substantial erosion,false
2026-03-07,1.22,46.01,46.44,Substantial erosion,false
2026-03-08,1.27,46.01,46.46,Substantial erosion,false
2026-03-09,1.32,48.51,48.97,Substantial erosion,false
2026-03-10,1.37,48.51,48.99,Substantial erosion,false
2026-03-11,1.44,48.51,49.01,Substantial erosion,false
2026-03-12,1.50,48.51,49.03,Substantial erosion,false
2026-03-13,1.57,48.51,49.06,Substantial erosion,false
2026-03-14,1.64,48.51,49.08,Substantial erosion,false
2026-03-15,1.70,48.51,49.10,Substantial erosion,false
2026-03-16,1.76,48.51,49.12,Substantial erosion,false
2026-03-17,1.82,48.51,49.14,Substantial erosion,false
2026-03-18,1.88,48.51,49.16,Substantial erosion,false
2026-03-19,1.94,48.51,49.19,Substantial erosion,false
2026-03-20,2.02,48.51,49.21,Substantial erosion,false
2026-03-21,2.11,48.51,49.24,Substantial erosion,false
2026-03-22,2.17,48.51,49.27,Substantial erosion,false
2026-03-23,2.23,48.51,49.29,Substantial erosion,false
2026-03-24,2.27,48.51,49.30,Substantial erosion,false
2026-03-25,2.32,48.51,49.32,Substantial erosion,false
2026-03-26,2.37,48.51,49.34,Substantial erosion,false
2026-03-27,2.41,48.51,49.35,Substantial erosion,false
2026-03-28,2.46,48.51,49.37,Substantial erosion,false
2026-03-29,2.50,48.51,49.38,Substantial erosion,false
2026-03-30,2.54,48.51,49.40,Substantial erosion,false
2026-03-31,2.59,48.51,49.41,Substantial erosion,false
2026-04-01,2.63,48.51,49.43,Substantial erosion,false
2026-04-02,2.67,48.51,49.44,Substantial erosion,false
2026-04-03,2.72,48.51,49.46,Substantial erosion,false
2026-04-04,2.76,48.51,49.47,Substantial erosion,false
2026-04-05,2.80,48.51,49.49,Substantial erosion,false
2026-04-06,2.83,48.51,49.50,Substantial erosion,false
2026-04-07,2.85,48.51,49.51,Severe erosion,false
2026-04-08,2.87,48.51,49.51,Severe erosion,false
2026-04-09,2.91,48.51,49.53,Severe erosion,false
2026-04-10,2.96,48.51,49.54,Severe erosion,false
2026-04-11,3.01,48.51,49.56,Severe erosion,false
2026-04-12,3.05,48.51,49.58,Severe erosion,false
2026-04-13,3.09,48.51,49.59,Severe erosion,false
2026-04-14,3.12,51.42,52.51,Severe erosion,false
2026-04-15,3.16,51.42,52.53,Severe erosion,false
2026-04-16,3.20,51.42,52.54,Severe erosion,false
2026-04-17,3.24,51.42,52.55,Severe erosion,false
2026-04-18,3.28,51.42,52.57,Severe erosion,false
2026-04-19,3.32,51.42,52.58,Severe erosion,false
2026-04-20,3.35,51.42,52.59,Severe erosion,false
2026-04-21,3.39,51.42,52.60,Severe erosion,false
2026-04-22,3.42,51.42,52.61,Severe erosion,false
2026-04-23,3.45,51.42,52.63,Severe erosion,false
2026-04-24,3.48,51.42,52.64,Severe erosion,false
2026-04-25,3.50,51.42,52.64,Severe erosion,false
2026-04-26,3.52,51.42,52.65,Severe erosion,false
2026-04-27,3.53,51.42,52.65,Severe erosion,false
2026-04-28,3.56,51.42,52.66,Severe erosion,false
2026-04-29,3.60,51.42,52.68,Severe erosion,false
2026-04-30,3.65,51.42,52.70,Severe erosion,false
2026-05-01,3.70,51.42,52.71,Severe erosion,false
2026-05-02,3.77,51.42,52.74,Severe erosion,false
2026-05-03,3.83,51.42,52.76,Severe erosion,false
2026-05-04,3.88,51.42,52.78,Severe erosion,false
2026-05-05,3.93,51.42,52.79,Severe erosion,false
2026-05-06,3.97,51.42,52.81,Severe erosion,false
2026-05-07,4.01,51.42,52.82,Severe erosion,false
2026-05-08,4.06,51.42,52.84,Severe erosion,false
2026-05-09,4.09,51.42,52.85,Severe erosion,false
2026-05-10,4.12,51.42,52.86,Severe erosion,false
2026-05-11,4.14,51.42,52.87,Severe erosion,false
2026-05-12,4.16,51.42,52.87,Severe erosion,false
2026-05-13,4.18,51.42,52.88,Severe erosion,false
2026-05-14,4.21,51.42,52.89,Severe erosion,false
2026-05-15,4.26,51.42,52.91,Severe erosion,false
2026-05-16,4.31,51.42,52.93,Severe erosion,false
2026-05-17,4.34,51.42,52.94,Severe erosion,false
2026-05-18,4.36,51.42,52.95,Severe erosion,false
2026-05-19,4.38,51.42,52.95,Severe erosion,false
2026-05-20,4.41,51.42,52.96,Severe erosion,false
2026-05-21,4.43,51.42,52.97,Severe erosion,false
2026-05-22,4.48,51.42,52.99,Severe erosion,false
2026-05-23,4.52,51.42,53.00,Severe erosion,false
2026-05-24,4.56,51.42,53.02,Severe erosion,false
2026-05-25,4.59,51.42,53.02,Severe erosion,false
2026-05-26,4.61,51.42,53.03,Severe erosion,false
2026-05-27,4.64,51.42,53.04,Severe erosion,false
2026-05-28,4.66,51.42,53.05,Severe erosion,false
2026-05-29,4.69,51.42,53.06,Severe erosion,false
2026-05-30,4.72,51.42,53.07,Severe erosion,false
2026-05-31,4.74,51.42,53.08,Severe erosion,false
2026-06-01,4.77,51.42,53.09,Severe erosion,false
2026-06-02,4.79,51.42,53.10,Severe erosion,false
2026-06-03,4.83,51.42,53.11,Severe erosion,false
2026-06-04,4.86,51.42,53.12,Severe erosion,false
2026-06-05,4.90,51.42,53.13,Severe erosion,false
2026-06-06,4.93,51.42,53.14,Severe erosion,false
2026-06-07,4.97,51.42,53.16,Severe erosion,false
2026-06-08,5.00,51.42,53.17,Severe erosion,false
2026-06-09,5.03,51.42,53.18,Severe erosion,false
2026-06-10,5.07,51.42,53.19,Severe erosion,false
2026-06-11,5.11,51.42,53.21,Severe erosion,false
2026-06-12,5.16,51.42,53.22,Severe erosion,false
2026-06-13,5.22,51.42,53.24,Severe erosion,false
2026-06-14,5.26,51.42,53.26,Severe erosion,false
2026-06-15,5.30,51.42,53.27,Severe erosion,false
2026-06-16,5.34,51.42,53.29,Severe erosion,false
2026-06-17,5.37,51.42,53.30,Severe erosion,false
2026-06-18,5.41,51.42,53.31,Severe erosion,false
2026-06-19,5.44,51.42,53.32,Severe erosion,false
2026-06-20,5.47,51.42,53.33,Severe erosion,false
2026-06-21,5.50,51.42,53.34,Severe erosion,false
2026-06-22,5.53,51.42,53.35,Severe erosion,false
2026-06-23,5.57,51.42,53.37,Severe erosion,false
2026-06-24,5.60,51.42,53.38,Severe erosion,false
2026-06-25,5.65,51.42,53.40,Severe erosion,false
2026-06-26,5.68,51.42,53.41,Severe erosion,false
2026-06-27,5.73,51.42,53.42,Severe erosion,false
2026-06-28,5.77,51.42,53.44,Severe erosion,false
2026-06-29,5.79,52.83,54.85,Severe erosion,false
2026-06-30,5.82,52.83,54.87,Severe erosion,false
2026-07-01,5.87,52.83,54.88,Severe erosion,false
2026-07-02,5.92,52.83,54.90,Severe erosion,false
2026-07-03,5.97,52.83,54.92,Severe erosion,false
2026-07-04,6.00,52.83,54.93,Severe erosion,false
2026-07-05,6.03,52.83,54.94,Severe erosion,false
2026-07-06,6.05,52.83,54.95,Severe erosion,false
2026-07-07,6.09,52.83,54.96,Severe erosion,false
2026-07-08,6.13,52.83,54.98,Severe erosion,false
2026-07-09,6.18,52.83,54.99,Severe erosion,false
2026-07-10,6.23,52.83,55.01,Severe erosion,false
2026-07-11,6.28,52.83,55.03,Severe erosion,false
2026-07-12,6.31,52.83,55.04,Severe erosion,false
2026-07-13,6.34,52.83,55.05,Severe erosion,false
2026-07-14,6.36,52.83,55.06,Severe erosion,false
2026-07-15,6.41,52.83,55.07,Severe erosion,false
2026-07-16,6.45,52.83,55.08,Severe erosion,false
2026-07-17,6.49,52.83,55.10,Severe erosion,false
2026-07-18,6.54,52.83,55.12,Severe erosion,false
2026-07-19,6.57,52.83,55.13,Severe erosion,false
2026-07-20,6.60,52.83,55.14,Severe erosion,false
2026-07-21,6.62,52.83,55.15,Severe erosion,false
2026-07-22,6.66,52.83,55.16,Severe erosion,false
2026-07-23,6.68,52.83,55.17,Severe erosion,false
2026-07-24,6.70,52.83,55.17,Severe erosion,false
2026-07-25,6.72,52.83,55.18,Severe erosion,false
2026-07-26,6.74,52.83,55.19,Severe erosion,false
2026-07-27,6.76,52.83,55.19,Severe erosion,false
2026-07-28,6.75,52.83,55.19,Severe erosion,false
2026-07-29,6.74,52.83,55.19,Severe erosion,false
2026-07-30,6.74,52.83,55.19,Severe erosion,false
2026-07-31,6.74,52.83,55.19,Severe erosion,false
2026-08-01,6.75,52.83,55.19,Severe erosion,false
2026-08-02,6.76,52.83,55.20,Severe erosion,false
2026-08-03,6.77,52.83,55.20,Severe erosion,false
2026-08-04,6.78,52.83,55.20,Severe erosion,false
2026-08-05,6.79,52.83,55.21,Severe erosion,false
2026-08-06,6.81,52.83,55.21,Severe erosion,false
