date,pressure_score,ledger_score,cei,cei_band,provisional
2026-02-16,0.04,52.87,52.89,Severe erosion,false
2026-02-17,0.08,52.87,52.90,Severe erosion,false
2026-02-18,0.13,52.87,52.92,Severe erosion,false
2026-02-19,0.19,52.87,52.94,Severe erosion,false
2026-02-20,0.26,46.01,46.10,Substantial erosion,false
2026-02-21,0.32,46.01,46.13,Substantial erosion,false
2026-02-22,0.39,46.01,46.15,Substantial erosion,false
2026-02-23,0.44,46.01,46.17,Substantial erosion,false
2026-02-24,0.50,46.01,46.19,Substantial erosion,false
2026-02-25,0.57,46.01,46.21,Substantial erosion,false
2026-02-26,0.65,46.01,46.24,Substantial erosion,false
2026-02-27,0.72,46.01,46.27,Substantial erosion,false
2026-02-28,0.78,46.01,46.29,Substantial erosion,false
2026-03-01,0.85,46.01,46.31,Substantial erosion,false
2026-03-02,0.90,46.01,46.33,Substantial erosion,false
2026-03-03,0.94,46.01,46.34,Substantial erosion,false
2026-03-04,1.00,46.01,46.36,Substantial erosion,false
2026-03-05,1.06,46.01,46.38,Substantial erosion,false
2026-03-06,1.11,46.01,46.40,Substantial erosion,false
2026-03-07,1.16,46.01,46.42,Substantial erosion,false
2026-03-08,1.21,46.01,46.44,Substantial erosion,false
2026-03-09,1.26,48.51,48.95,Substantial erosion,false
2026-03-10,1.31,48.51,48.96,Substantial erosion,false
2026-03-11,1.36,48.51,48.98,Substantial erosion,false
2026-03-12,1.42,48.51,49.00,Substantial erosion,false
2026-03-13,1.49,48.51,49.03,Substantial erosion,false
2026-03-14,1.55,48.51,49.05,Substantial erosion,false
2026-03-15,1.60,48.51,49.07,Substantial erosion,false
2026-03-16,1.66,48.51,49.09,Substantial erosion,false
2026-03-17,1.72,48.51,49.11,Substantial erosion,false
2026-03-18,1.78,48.51,49.13,Substantial erosion,false
2026-03-19,1.83,48.51,49.15,Substantial erosion,false
2026-03-20,1.91,48.51,49.18,Substantial erosion,false
2026-03-21,1.99,48.51,49.20,Substantial erosion,false
2026-03-22,2.05,48.51,49.23,Substantial erosion,false
2026-03-23,2.11,48.51,49.24,Substantial erosion,false
2026-03-24,2.15,48.51,49.26,Substantial erosion,false
2026-03-25,2.20,48.51,49.28,Substantial erosion,false
2026-03-26,2.24,48.51,49.29,Substantial erosion,false
2026-03-27,2.28,48.51,49.31,Substantial erosion,false
2026-03-28,2.33,48.51,49.32,Substantial erosion,false
2026-03-29,2.36,48.51,49.33,Substantial erosion,false
2026-03-30,2.41,48.51,49.35,Substantial erosion,false
2026-03-31,2.45,48.51,49.36,Substantial erosion,false
2026-04-01,2.49,48.51,49.38,Substantial erosion,false
2026-04-02,2.53,48.51,49.39,Substantial erosion,false
2026-04-03,2.57,48.51,49.41,Substantial erosion,false
2026-04-04,2.61,48.51,49.42,Substantial erosion,false
2026-04-05,2.65,48.51,49.43,Substantial erosion,false
2026-04-06,2.68,48.51,49.45,Substantial erosion,false
2026-04-07,2.70,48.51,49.45,Substantial erosion,false
2026-04-08,2.72,48.51,49.46,Substantial erosion,false
2026-04-09,2.76,48.51,49.47,Substantial erosion,false
2026-04-10,2.80,48.51,49.49,Substantial erosion,false
2026-04-11,2.85,48.51,49.50,Severe erosion,false
2026-04-12,2.89,48.51,49.52,Severe erosion,false
2026-04-13,2.93,48.51,49.53,Severe erosion,false
2026-04-14,2.95,51.42,52.45,Severe erosion,false
2026-04-15,2.99,51.42,52.47,Severe erosion,false
2026-04-16,3.03,51.42,52.48,Severe erosion,false
2026-04-17,3.07,51.42,52.49,Severe erosion,false
2026-04-18,3.10,51.42,52.50,Severe erosion,false
2026-04-19,3.14,51.42,52.52,Severe erosion,false
2026-04-20,3.17,51.42,52.53,Severe erosion,false
2026-04-21,3.20,51.42,52.54,Severe erosion,false
2026-04-22,3.23,51.42,52.55,Severe erosion,false
2026-04-23,3.26,51.42,52.56,Severe erosion,false
2026-04-24,3.28,51.42,52.57,Severe erosion,false
2026-04-25,3.31,51.42,52.58,Severe erosion,false
2026-04-26,3.33,51.42,52.58,Severe erosion,false
2026-04-27,3.34,51.42,52.59,Severe erosion,false
2026-04-28,3.37,51.42,52.60,Severe erosion,false
2026-04-29,3.40,51.42,52.61,Severe erosion,false
2026-04-30,3.45,51.42,52.63,Severe erosion,false
2026-05-01,3.50,51.42,52.64,Severe erosion,false
2026-05-02,3.56,51.42,52.66,Severe erosion,false
2026-05-03,3.61,51.42,52.68,Severe erosion,false
2026-05-04,3.67,51.42,52.70,Severe erosion,false
2026-05-05,3.71,51.42,52.72,Severe erosion,false
2026-05-06,3.75,51.42,52.73,Severe erosion,false
2026-05-07,3.79,51.42,52.74,Severe erosion,false
2026-05-08,3.83,51.42,52.76,Severe erosion,false
2026-05-09,3.86,51.42,52.77,Severe erosion,false
2026-05-10,3.88,51.42,52.78,Severe erosion,false
2026-05-11,3.91,51.42,52.79,Severe erosion,false
2026-05-12,3.92,51.42,52.79,Severe erosion,false
2026-05-13,3.95,51.42,52.80,Severe erosion,false
2026-05-14,3.97,51.42,52.81,Severe erosion,false
2026-05-15,4.02,51.42,52.82,Severe erosion,false
2026-05-16,4.06,51.42,52.84,Severe erosion,false
2026-05-17,4.09,51.42,52.85,Severe erosion,false
2026-05-18,4.11,51.42,52.86,Severe erosion,false
2026-05-19,4.12,51.42,52.86,Severe erosion,false
2026-05-20,4.15,51.42,52.87,Severe erosion,false
2026-05-21,4.17,51.42,52.88,Severe erosion,false
2026-05-22,4.21,51.42,52.89,Severe erosion,false
2026-05-23,4.25,51.42,52.91,Severe erosion,false
2026-05-24,4.29,51.42,52.92,Severe erosion,false
2026-05-25,4.31,51.42,52.93,Severe erosion,false
2026-05-26,4.33,51.42,52.93,Severe erosion,false
2026-05-27,4.35,51.42,52.94,Severe erosion,false
2026-05-28,4.37,51.42,52.95,Severe erosion,false
2026-05-29,4.39,51.42,52.96,Severe erosion,false
2026-05-30,4.42,51.42,52.96,Severe erosion,false
2026-05-31,4.44,51.42,52.97,Severe erosion,false
2026-06-01,4.46,51.42,52.98,Severe erosion,false
2026-06-02,4.48,51.42,52.99,Severe erosion,false
2026-06-03,4.52,51.42,53.00,Severe erosion,false
2026-06-04,4.55,51.42,53.01,Severe erosion,false
2026-06-05,4.58,51.42,53.02,Severe erosion,false
2026-06-06,4.60,51.42,53.03,Severe erosion,false
2026-06-07,4.64,51.42,53.04,Severe erosion,false
2026-06-08,4.66,51.42,53.05,Severe erosion,false
2026-06-09,4.69,51.42,53.06,Severe erosion,false
2026-06-10,4.72,51.42,53.07,Severe erosion,false
2026-06-11,4.76,51.42,53.08,Severe erosion,false
2026-06-12,4.80,51.42,53.10,Severe erosion,false
2026-06-13,4.85,51.42,53.12,Severe erosion,false
2026-06-14,4.89,51.42,53.13,Severe erosion,false
2026-06-15,4.93,51.42,53.14,Severe erosion,false
2026-06-16,4.96,51.42,53.15,Severe erosion,false
2026-06-17,4.99,51.42,53.17,Severe erosion,false
2026-06-18,5.02,51.42,53.18,Severe erosion,false
2026-06-19,5.05,51.42,53.19,Severe erosion,false
2026-06-20,5.08,51.42,53.20,Severe erosion,false
2026-06-21,5.11,51.42,53.21,Severe erosion,false
2026-06-22,5.14,51.42,53.22,Severe erosion,false
2026-06-23,5.17,51.42,53.23,Severe erosion,false
2026-06-24,5.21,51.42,53.24,Severe erosion,false
2026-06-25,5.25,51.42,53.26,Severe erosion,false
2026-06-26,5.28,51.42,53.27,Severe erosion,false
2026-06-27,5.32,51.42,53.28,Severe erosion,false
2026-06-28,5.35,51.42,53.29,Severe erosion,false
2026-06-29,5.37,52.83,54.71,Severe erosion,false
2026-06-30,5.40,52.83,54.72,Severe erosion,false
2026-07-01,5.45,52.83,54.74,Severe erosion,false
2026-07-02,5.49,52.83,54.75,Severe erosion,false
2026-07-03,5.53,52.83,54.77,Severe erosion,false
2026-07-04,5.57,52.83,54.78,Severe erosion,false
2026-07-05,5.60,52.83,54.79,Severe erosion,false
2026-07-06,5.62,52.83,54.79,Severe erosion,false
2026-07-07,5.65,52.83,54.81,Severe erosion,false
2026-07-08,5.69,52.83,54.82,Severe erosion,false
2026-07-09,5.73,52.83,54.83,Severe erosion,false
2026-07-10,5.77,52.83,54.85,Severe erosion,false
2026-07-11,5.81,52.83,54.86,Severe erosion,false
2026-07-12,5.84,52.83,54.87,Severe erosion,false
2026-07-13,5.86,52.83,54.88,Severe erosion,false
2026-07-14,5.88,52.83,54.89,Severe erosion,false
2026-07-15,5.92,52.83,54.90,Severe erosion,false
2026-07-16,5.96,52.83,54.91,Severe erosion,false
2026-07-17,6.00,52.83,54.93,Severe erosion,false
2026-07-18,6.04,52.83,54.94,Severe erosion,false
2026-07-19,6.08,52.83,54.96,Severe erosion,false
2026-07-20,6.10,52.83,54.96,Severe erosion,false
2026-07-21,6.12,52.83,54.97,Severe erosion,false
2026-07-22,6.15,52.83,54.98,Severe erosion,false
2026-07-23,6.18,52.83,54.99,Severe erosion,false
2026-07-24,6.20,52.83,55.00,Severe erosion,false
2026-07-25,6.21,52.83,55.00,Severe erosion,false
2026-07-26,6.23,52.83,55.01,Severe erosion,false
2026-07-27,6.25,52.83,55.02,Severe erosion,false
2026-07-28,6.24,52.83,55.01,Severe erosion,false
2026-07-29,6.24,52.83,55.01,Severe erosion,false
2026-07-30,6.24,52.83,55.01,Severe erosion,false
2026-07-31,6.24,52.83,55.01,Severe erosion,false
2026-08-01,6.25,52.83,55.02,Severe erosion,false
2026-08-02,6.26,52.83,55.02,Severe erosion,false
2026-08-03,6.27,52.83,55.02,Severe erosion,false
2026-08-04,6.28,52.83,55.03,Severe erosion,false
2026-08-05,6.29,52.83,55.03,Severe erosion,false
2026-08-06,6.30,52.83,55.04,Severe erosion,false
2026-08-07,6.32,52.83,55.04,Severe erosion,false
2026-08-08,6.34,52.83,55.05,Severe erosion,false
2026-08-09,6.35,52.83,55.05,Severe erosion,false
2026-08-10,6.35,52.83,55.05,Severe erosion,false
2026-08-11,6.35,52.83,55.05,Severe erosion,false
2026-08-12,6.35,52.83,55.05,Severe erosion,false
2026-08-13,6.35,52.83,55.05,Severe erosion,false
2026-08-14,6.35,52.83,55.05,Severe erosion,false
2026-08-15,6.36,52.83,55.05,Severe erosion,false
2026-08-16,6.36,52.83,55.06,Severe erosion,false
2026-08-17,6.37,52.83,55.06,Severe erosion,false
2026-08-18,6.36,52.83,55.06,Severe erosion,false
2026-08-19,6.36,52.83,55.06,Severe erosion,false
2026-08-20,6.35,52.83,55.05,Severe erosion,false
2026-08-21,6.34,52.83,55.05,Severe erosion,false
2026-08-22,6.34,52.83,55.05,Severe erosion,false
2026-08-23,6.32,52.83,55.04,Severe erosion,false
2026-08-24,6.31,52.83,55.04,Severe erosion,false
2026-08-25,6.31,52.83,55.04,Severe erosion,false
2026-08-26,6.34,52.83,55.05,Severe erosion,false
2026-08-27,6.38,52.83,55.06,Severe erosion,false
2026-08-28,6.41,52.83,55.07,Severe erosion,false
2026-08-29,6.44,52.83,55.08,Severe erosion,false
2026-08-30,6.46,52.83,55.09,Severe erosion,false
2026-08-31,6.47,52.83,55.09,Severe erosion,false
2026-09-01,6.48,52.83,55.10,Severe erosion,false
2026-09-02,6.49,52.83,55.10,Severe erosion,false
2026-09-03,6.50,52.83,55.11,Severe erosion,false
2026-09-04,6.53,52.83,55.11,Severe erosion,false
2026-09-05,6.55,52.83,55.12,Severe erosion,false
